,index,ID,Make,Model,Year,MSRP,Invoice,Colors exterior,Colors interior,Body type,Total seating,Length (in),Width (in),Height (in),Wheelbase (in),Front track (in),Rear track (in),Ground clearance (in),Angle of approach (degrees),Angle of departure (degrees),Turning circle (ft),Drag coefficient (Cd),EPA interior volume (cu ft),Cargo capacity (cu ft),Maximum cargo capacity (cu ft),Curb weight (lbs),Gross weight (lbs),Maximum payload (lbs),Maximum towing capacity (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Valves,Valve timing,Cam type,Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),Combined MPG,Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Basic,Drivetrain,Roadside,Rust,Free maintenance,Hybrid component,EV battery,Source URL,What's new,Pros,Cons,Image URL,Trim,Images URL,Suspension,Front seats,Rear seats,Power features,Instrumentation,Convenience,Comfort,Memorized settings,In car entertainment,Telematics,Roof and glass,Body,Truck features,Tires and wheels,Doors,Towing and hauling,Safety features,Packages,Exterior options,Interior options,Mechanical options,Domestic / imported,Country of origin,Car classification,Platform code / generation number,Date added,EPA mileage (mpg) City,EPA mileage (mpg) Highway,Range (miles) City,Range (miles) Highway,MSRP Range low,MSRP Range high
10,23,162,BMW,3 Series,1992,,,"[{'color_name': 'terling Silver Metallic', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Iceland Green Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Calypso Red Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Laguna Green Metallic', 'color_code': '()'}, {'color_name': 'Lazure Blue Metallic', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Glacier Blue Metallic', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}]",,Convertible,,170.2,64.8,53.9,101.2,,,,,,34.4,,,11,,2990,,,,I6,2.5,168,5800,164,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,18,37.7,,39.6,,,,,,,,,,,,,https://www.edmunds.com/bmw/3-series/1992/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1991/oem/1991_bmw_3-series_convertible_325i_fq_oem_1_500.jpg,325i - Convertible,,,,,,,,,,,,,,,,,,,,,,,Imported,Germany,Compact car,E30,2020-02-14 00:00:00,15,22,246.0,360.8,,
11,24,165,BMW,3 Series,1992,,,"[{'color_name': 'alypso Red Metallic', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Iceland Green Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Glacier Blue Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Lazure Blue Metallic', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}, {'color_name': 'Laguna Green Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}]",,Coupe,,174.5,67.3,53.8,106.3,,,,,,34.1,,,14.3,,2866,,,,I4,1.8,138,6000,129,4500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,22,37.1,,,,36.7,,,,,,,,,,,https://www.edmunds.com/bmw/3-series/1992/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1991/oem/1991_bmw_3-series_convertible_325i_fq_oem_1_500.jpg,318is - Coupe,,,,,,,,,,,,,,,,,,,,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,19,27,326.8,464.4,,
12,25,167,BMW,3 Series,1992,,,"[{'color_name': 'alypso Red Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}, {'color_name': 'Lazure Blue Metallic', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Glacier Blue Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}, {'color_name': 'Iceland Green Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Laguna Green Metallic', 'color_code': '()'}]",,Coupe,,174.5,67.3,53.8,106.3,,,,,,34.1,,,14.3,,3020,,,,I6,2.5,189,5900,181,4700,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,19,37.1,,,,36.7,,,,,,,,,,,https://www.edmunds.com/bmw/3-series/1992/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1991/oem/1991_bmw_3-series_convertible_325i_fq_oem_1_500.jpg,325is - Coupe,,,,,,,,,,,,,,,,,,,,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,16,24,275.2,412.8,,
13,26,104,BMW,3 Series,1994,,,"[{'color_name': 'amoa Blue Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Samana Beige Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}, {'color_name': 'Orient Blue Metallic', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Arctic Silver Metallic', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Morea Green Metallic', 'color_code': '()'}, {'color_name': 'Arctic Gray Metallic', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Oxford Green Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Boston Green Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}, {'color_name': 'Calypso Red Metallic', 'color_code': '()'}]",,Convertible,,174.5,67.3,53.1,106.3,,,,,,,,,9,,3352,,,,I4,1.8,138,6000,129,4500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,22,38.1,,41.2,,36.3,,28.1,,,,,,,,,https://www.edmunds.com/bmw/3-series/1994/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg,318i - Convertible,,,,,,,,,,,,,,,,,,,,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,19,29,326.8,498.8,,
14,27,108,BMW,3 Series,1994,,,"[{'color_name': 'rocade Red Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Orient Blue Metallic', 'color_code': '()'}, {'color_name': 'Arctic Silver Metallic', 'color_code': '()'}, {'color_name': 'Calypso Red Metallic', 'color_code': '()'}, {'color_name': 'Boston Green Metallic', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Samoa Blue Metallic', 'color_code': '()'}, {'color_name': 'Morea Green Metallic', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Samana Beige Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Oxford Green Metallic', 'color_code': '()'}, {'color_name': 'Arctic Gray Metallic', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}]",,Convertible,,174.5,67.3,53.1,106.3,,,,,,34.1,,,8.9,,3351,,,,I6,2.5,189,5900,181,4200,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,20,38.1,,41.2,53.2,36.3,,28.1,43.6,,,,,,,,https://www.edmunds.com/bmw/3-series/1994/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg,325i - Convertible,,,,,,,,,,,,,,,,,,"['N', 'N head airbags', 'N side-mounted airbags', 'O']",,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,17,26,292.4,447.2,,
15,28,100,BMW,3 Series,1994,,,"[{'color_name': 'amoa Blue Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Samana Beige Metallic', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Oxford Green Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}, {'color_name': 'Arctic Gray Metallic', 'color_code': '()'}, {'color_name': 'Orient Blue Metallic', 'color_code': '()'}, {'color_name': 'Arctic Silver Metallic', 'color_code': '()'}, {'color_name': 'Boston Green Metallic', 'color_code': '()'}, {'color_name': 'Calypso Red Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Morea Green Metallic', 'color_code': '()'}]",,Sedan,,174.5,66.8,54.8,106.3,,,,,,34.1,,,10.3,,2866,,,,I4,1.8,138,6000,129,4500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,22,37.1,,41.1,53.5,36.7,,34,53.3,,,,,,,,https://www.edmunds.com/bmw/3-series/1994/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg,318i - Sedan,,,,,,,,,,,,,,,,,,,,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,19,27,326.8,464.4,,
16,29,102,BMW,3 Series,1994,,,"[{'color_name': 'amoa Blue Metallic', 'color_code': '()'}, {'color_name': 'Morea Green Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Samana Beige Metallic', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Oxford Green Metallic', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Arctic Gray Metallic', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Arctic Silver Metallic', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Orient Blue Metallic', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}, {'color_name': 'Calypso Red Metallic', 'color_code': '()'}, {'color_name': 'Boston Green Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}]",,Sedan,,174.5,66.8,54.8,106.3,,,,,,34.1,,,10.3,,3086,,,,I6,2.5,189,5900,181,4200,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,20,37.8,,41.1,53.5,37.3,,34,53.3,,,,,,,,https://www.edmunds.com/bmw/3-series/1994/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg,325i - Sedan,,,,,,,,,,,,,,,,,,"['N', 'N head airbags', 'N side-mounted airbags', 'O']",,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,17,26,292.4,447.2,,
17,30,106,BMW,3 Series,1994,,,"[{'color_name': 'xford Green Metallic', 'color_code': '()'}, {'color_name': 'Calypso Red Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Samana Beige Metallic', 'color_code': '()'}, {'color_name': 'Mauritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Boston Green Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Orient Blue Metallic', 'color_code': '()'}, {'color_name': 'Morea Green Metallic', 'color_code': '()'}, {'color_name': 'Arctic Silver Metallic', 'color_code': '()'}, {'color_name': 'Samoa Blue Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}, {'color_name': 'Arctic Gray Metallic', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}]",,Coupe,,174.5,67.3,53.8,106.3,,,,,,34.1,,,9.2,,2866,,,,I4,1.8,138,6000,129,4500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,22,36.7,,41.2,53.2,35.9,,32.7,52.1,,,,,,,,https://www.edmunds.com/bmw/3-series/1994/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg,318is - Coupe,,,,,,,,,,,,,,,,,,,,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,19,27,326.8,464.4,,
18,31,110,BMW,3 Series,1994,,,"[{'color_name': 'auritius Blue Metallic', 'color_code': '()'}, {'color_name': 'Arctic Gray Metallic', 'color_code': '()'}, {'color_name': 'Arctic Silver Metallic', 'color_code': '()'}, {'color_name': 'Sterling Silver Metallic', 'color_code': '()'}, {'color_name': 'Calypso Red Metallic', 'color_code': '()'}, {'color_name': 'Jet Black', 'color_code': '()'}, {'color_name': 'Cashmere Beige Metallic', 'color_code': '()'}, {'color_name': 'Alpine White II', 'color_code': '()'}, {'color_name': 'Boston Green Metallic', 'color_code': '()'}, {'color_name': 'Brocade Red Metallic', 'color_code': '()'}, {'color_name': 'Samana Beige Metallic', 'color_code': '()'}, {'color_name': 'Morea Green Metallic', 'color_code': '()'}, {'color_name': 'Samoa Blue Metallic', 'color_code': '()'}, {'color_name': 'Brilliant Red', 'color_code': '()'}, {'color_name': 'Orient Blue Metallic', 'color_code': '()'}, {'color_name': 'Diamond Black Metallic', 'color_code': '()'}, {'color_name': 'Oxford Green Metallic', 'color_code': '()'}, {'color_name': 'Granite Silver Metallic', 'color_code': '()'}]",,Coupe,,174.5,67.3,53.8,106.3,,,,,,34.1,,,9.2,,3086,,,,I6,2.5,189,5900,181,4200,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,20,36.7,,41.2,53.2,35.9,,32.7,52.1,,,,,,,,https://www.edmunds.com/bmw/3-series/1994/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg,325is - Coupe,,,,,,,,,,,,,,,,,,"['N', 'N head airbags', 'N side-mounted airbags', 'O']",,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,17,26,292.4,447.2,,
19,32,34,BMW,3 Series,1996,,,,,Sedan,,174.5,66.9,54.8,106.3,,,,,,34.1,,,10.3,,2976,,,,I4,1.9,138,6000,133,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,23,37.1,,41.1,53.5,36.7,,34,53.3,,,,,,,,https://www.edmunds.com/bmw/3-series/1996/review/,,,,https://media.ed.edmunds-media.com/bmw/3-series/1992/oem/1992_bmw_3-series_sedan_325i_s_oem_1_500.jpg,318i - Sedan,,,,,,,,,,,,,,,,,,"['N', 'N head airbags', 'N side-mounted airbags', 'O']",,,,,Imported,Germany,Compact car,E36,2020-02-14 00:00:00,20,29,328.0,475.6,,
